season,team,conference,statName,statValue
2025,Nevada,Mountain West,rushingAttempts,415
2025,Nevada,Mountain West,rushingAttemptsOpponent,424
2025,Nevada,Mountain West,rushingTDs,9
2025,Nevada,Mountain West,rushingTDsOpponent,24
2025,Nevada,Mountain West,rushingYards,1863
2025,Nevada,Mountain West,rushingYardsOpponent,1804
2025,Nevada,Mountain West,sacks,19
2025,Nevada,Mountain West,sacksOpponent,18
2025,Nevada,Mountain West,tacklesForLoss,63
2025,Nevada,Mountain West,tacklesForLossOpponent,67
2025,Nevada,Mountain West,thirdDownConversions,50
2025,Nevada,Mountain West,thirdDownConversionsOpponent,61
2025,Nevada,Mountain West,thirdDowns,156
2025,Nevada,Mountain West,thirdDownsOpponent,160
2025,Nevada,Mountain West,totalYards,3629
2025,Nevada,Mountain West,totalYardsOpponent,4446
2025,Nevada,Mountain West,turnovers,27
2025,Nevada,Mountain West,turnoversOpponent,15
2025,New Mexico,Mountain West,firstDowns,252
2025,New Mexico,Mountain West,firstDownsOpponent,248
2025,New Mexico,Mountain West,fourthDownConversions,21
2025,New Mexico,Mountain West,fourthDownConversionsOpponent,17
2025,New Mexico,Mountain West,fourthDowns,32
2025,New Mexico,Mountain West,fourthDownsOpponent,33
2025,New Mexico,Mountain West,fumblesLost,13
2025,New Mexico,Mountain West,fumblesLostOpponent,8
2025,New Mexico,Mountain West,fumblesRecovered,8
2025,New Mexico,Mountain West,fumblesRecoveredOpponent,13
2025,New Mexico,Mountain West,games,13
2025,New Mexico,Mountain West,interceptions,10
2025,New Mexico,Mountain West,interceptionsOpponent,9
2025,New Mexico,Mountain West,interceptionTDs,0
2025,New Mexico,Mountain West,interceptionTDsOpponent,1
2025,New Mexico,Mountain West,interceptionYards,99
2025,New Mexico,Mountain West,interceptionYardsOpponent,44
2025,New Mexico,Mountain West,kickReturns,24
2025,New Mexico,Mountain West,kickReturnsOpponent,18
2025,New Mexico,Mountain West,kickReturnTDs,2
2025,New Mexico,Mountain West,kickReturnTDsOpponent,0
2025,New Mexico,Mountain West,kickReturnYards,608
2025,New Mexico,Mountain West,kickReturnYardsOpponent,339
2025,New Mexico,Mountain West,netPassingYards,2662
2025,New Mexico,Mountain West,netPassingYardsOpponent,2986
2025,New Mexico,Mountain West,passAttempts,350
2025,New Mexico,Mountain West,passAttemptsOpponent,412
2025,New Mexico,Mountain West,passCompletions,227
2025,New Mexico,Mountain West,passCompletionsOpponent,282
2025,New Mexico,Mountain West,passesIntercepted,9
2025,New Mexico,Mountain West,passesInterceptedOpponent,10
2025,New Mexico,Mountain West,passingTDs,17
2025,New Mexico,Mountain West,passingTDsOpponent,19
2025,New Mexico,Mountain West,penalties,75
2025,New Mexico,Mountain West,penaltiesOpponent,95
2025,New Mexico,Mountain West,penaltyYards,630
2025,New Mexico,Mountain West,penaltyYardsOpponent,829
2025,New Mexico,Mountain West,possessionTime,23448
2025,New Mexico,Mountain West,possessionTimeOpponent,23352
2025,New Mexico,Mountain West,puntReturns,13
2025,New Mexico,Mountain West,puntReturnsOpponent,15
2025,New Mexico,Mountain West,puntReturnTDs,1
2025,New Mexico,Mountain West,puntReturnTDsOpponent,0
2025,New Mexico,Mountain West,puntReturnYards,55
2025,New Mexico,Mountain West,puntReturnYardsOpponent,59
2025,New Mexico,Mountain West,rushingAttempts,464
2025,New Mexico,Mountain West,rushingAttemptsOpponent,430
2025,New Mexico,Mountain West,rushingTDs,22
2025,New Mexico,Mountain West,rushingTDsOpponent,14
2025,New Mexico,Mountain West,rushingYards,1981
2025,New Mexico,Mountain West,rushingYardsOpponent,1476
2025,New Mexico,Mountain West,sacks,36
2025,New Mexico,Mountain West,sacksOpponent,34
