gameId,season,week,seasonType,team,conference,homeAway,points,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns
400944892,2017,1,regular,Ohio,Mid-American,home,59,7,19,0,4,1,38,0,2,9,,,,2,1,11,0,32,3,3,7,35:43,1,0,1,6-54,4.7,53,248,9.1,13-19,172,420,3-3,7-14,22
400937447,2017,1,regular,Clemson,ACC,home,56,6,26,0,4,2,22,0,1,8,,,,0,,5,0,21,0,1,1,26:55,1,0,1,4-45,8.2,43,353,8.9,25-35,312,665,1-1,5-10,34
400937447,2017,1,regular,Kent State,Mid-American,away,3,0,,,,0,72,0,4,3,10,0,1,0,,4,0,39,0,0,5,33:05,0,0,0,11-79,2.7,44,119,0.2,1-5,1,120,0-0,4-16,5
400935237,2017,1,regular,Penn State,Big Ten,home,52,4,130,1,5,2,20,0,1,10,0,0,1,0,,14,1,22,3,3,3,29:30,1,0,1,5-45,7.3,34,247,10.4,21-31,322,569,1-2,3-9,24
400935237,2017,1,regular,Akron,Mid-American,away,0,0,,,,0,77,0,4,,0,0,1,0,1,6,0,35,0,0,1,30:30,1,0,1,9-84,2.1,34,73,3.0,14-29,86,159,0-0,4-17,12
400944889,2017,1,regular,Elon,CAA,away,13,2,,,,0,150,0,8,1,19,0,1,1,0,2,0,33,2,3,5,29:01,1,0,1,5-40,3.2,40,128,3.4,3-14,47,175,0-1,4-14,7
400944889,2017,1,regular,Toledo,Mid-American,home,47,4,29,0,5,0,130,1,3,17,0,0,1,0,1,5,1,32,1,3,0,30:59,1,1,2,2-20,5.8,41,239,9.2,19-34,314,553,1-2,6-14,24
400938597,2017,1,regular,UAB,Conference USA,home,38,2,13,0,7,2,43,0,2,8,27,1,1,0,1,15,1,45,3,1,7,30:16,0,1,1,8-79,4.3,59,252,7.5,12-22,165,417,2-3,7-18,23
400938597,2017,1,regular,Alabama A&M,SWAC,away,7,0,16,0,3,1,59,0,4,1,,,,1,0,8,0,64,4,4,2,29:44,1,0,1,6-44,1.4,33,45,4.8,13-29,138,183,0-1,1-14,9
400933838,2017,1,regular,Texas A&M,SEC,away,44,5,,,,0,112,0,4,14,,,,3,0,6,0,51,3,0,12,36:22,0,0,0,5-39,6.1,63,382,3.0,9-30,89,471,0-1,9-21,23
