gameId,season,week,seasonType,team,conference,homeAway,points,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected
401752936,2025,1,regular,California,ACC,away,34,1,73,0,3,3,78,0,3,10,41,0,1,1,2,30:08,0,0,0,6-39,3.8,32,122,7.8,20-30,234,356,2-3,2-13,15,7,0,31,1,6,4
401752936,2025,1,regular,Oregon State,Pac-12,home,15,2,3,0,1,0,51,0,3,3,,,,0,3,29:52,1,1,2,3-20,2.4,27,65,7.3,22-34,248,313,1-2,3-11,19,4,0,33,0,4,6
401767425,2025,1,regular,Southern,SWAC,away,34,3,-5,0,2,1,136,0,6,10,,,,1,2,33:28,0,2,2,7-60,4.2,50,212,5.1,17-30,152,364,3-4,6-16,20,,,,,,
401767425,2025,1,regular,Mississippi Valley State,SWAC,home,29,0,0,0,1,2,68,0,5,11,,,,2,1,26:32,0,0,0,8-50,2.5,31,78,6.6,14-33,218,296,1-3,2-14,14,,,,,,
401761590,2025,1,regular,Weber State,Big Sky,away,10,0,,,,1,112,0,7,4,0,0,1,1,0,27:33,3,0,3,3-21,2.1,31,64,3.2,10-26,84,148,0-1,3-14,10,8,0,37,1,2,4
401761590,2025,1,regular,James Madison,Sun Belt,home,45,4,13,0,2,2,46,0,2,9,49,0,3,0,1,32:27,1,1,2,6-75,7.1,44,313,5.4,17-27,145,458,1-3,7-13,23,5,0,32,0,3,6
401752669,2025,1,regular,Georgia,SEC,home,45,3,26,0,4,3,,,,9,,,,,,34:29,0,0,0,2-15,5.4,44,239,7.8,19-32,249,488,3-3,6-16,27,5.5,0,40,0,0,1
401752669,2025,1,regular,Marshall,Sun Belt,away,7,1,14,0,2,0,52,0,3,1,,,,,,25:31,0,0,0,6-42,2.5,31,78,6.1,11-21,129,207,0-0,3-15,7,3,0,56,0,0,5
401767431,2025,1,regular,Texas Southern,SWAC,home,21,2,,,,1,140,0,3,3,0,0,1,0,1,21:50,0,0,0,7-63,4.2,30,126,8.3,11-16,132,258,3-3,5-9,17,,,,,,
401767431,2025,1,regular,Prairie View A&M,SWAC,away,22,1,1,0,1,1,46,0,2,2,,,,,,38:10,1,0,1,15-159,4.3,30,130,7.8,22-38,295,425,2-3,6-16,19,,,,,,
401767410,2025,1,regular,North Carolina Central,MEAC,away,31,3,7,0,1,1,74,0,3,7,,,,1,1,35:06,0,1,1,5-50,6.2,36,223,6.9,22-27,186,409,1-1,6-11,21,,,,,,
401767410,2025,1,regular,Southern,SWAC,home,14,2,,,,0,67,0,4,2,,,,0,1,24:54,0,1,1,743-37,8.3,30,249,4.6,13-19,88,337,2-3,2-10,15,,,,,,
401761594,2025,1,regular,Eastern Michigan,Mid-American,away,27,2,,,,1,33,0,2,9,,,,,,29:02,0,0,0,6-50,4.3,33,143,7.3,23-34,248,391,2-2,6-15,23,3,0,39,1,2,2
401761594,2025,1,regular,Texas State,Sun Belt,home,52,3,33,0,2,4,17,0,2,10,,,,0,1,30:58,0,0,0,6-42,10.1,39,392,7.9,18-27,214,606,1-1,7-10,30,7,0,40,2,6,3
401760361,2025,1,regular,Fresno State,Mountain West,home,42,5,55,0,3,0,17,0,1,10,0,0,1,0,1,38:01,2,1,3,2-25,8.0,44,351,6.5,20-27,176,527,1-1,6-10,29,2,0,19,0,0,6
401760361,2025,1,regular,Georgia Southern,Sun Belt,away,14,0,,,,2,64,0,4,2,0,0,2,1,0,21:59,1,0,1,5-58,4.0,21,84,5.6,17-28,158,242,0-0,4-11,13,3,0,42,0,0,1
401752806,2025,1,regular,Indiana,Big Ten,home,27,2,108,1,3,0,28,0,1,9,33,0,3,0,1,41:28,0,1,1,3-25,5.4,57,309,6.0,18-32,193,502,0-2,10-17,30,3,1,20,1,5,3
401752806,2025,1,regular,Old Dominion,Sun Belt,away,14,2,3,0,1,0,,,,2,,,,1,0,18:32,3,0,3,9-65,9.5,23,218,4.4,11-22,96,314,0-0,4-10,10,4,0,48,1,2,5
401754616,2025,1,regular,Virginia,ACC,home,48,3,31,0,4,2,100,1,1,12,10,0,1,2,1,33:33,0,0,0,7-50,4.2,42,177,8.1,22-36,290,467,1-3,9-18,23,4,1,13,1,4,9
401754616,2025,1,regular,Coastal Carolina,Sun Belt,away,7,1,,,,0,18,0,1,1,,,,0,1,26:27,1,1,2,7-60,3.4,29,98,4.4,20-37,163,261,1-2,1-14,13,3,0,29,0,3,6
401761589,2025,1,regular,Charlotte,American Athletic,home,11,0,,,,1,,,,3,,,,1,1,26:02,1,1,2,7-54,2.6,29,76,5.7,13-25,142,218,2-2,4-14,15,3,0,51,1,2,3
401761589,2025,1,regular,App State,Sun Belt,away,34,1,6,0,5,3,10,0,2,10,0,0,1,1,1,33:58,0,1,1,9-98,4.8,38,182,8.1,33-50,404,586,2-2,7-15,32,6,0,28,0,3,5
401752672,2025,1,regular,Ole Miss,SEC,home,63,4,67,0,5,4,,,,13,1,0,1,0,1,28:36,2,0,2,8-51,6.7,44,295,10.8,24-37,400,695,1-1,8-13,33,5,0,30,1,6,5
401752672,2025,1,regular,Georgia State,Sun Belt,away,7,0,,,,1,39,0,2,1,25,0,2,,,31:24,1,0,1,8-60,5.5,35,191,2.8,12-25,69,260,2-4,2-15,10,6,0,46,2,4,4
401761593,2025,1,regular,Morgan State,MEAC,away,21,3,,,,0,17,0,1,3,,,,1,3,22:46,1,3,4,10-61,4.5,40,181,6.4,15-25,159,340,2-2,5-13,17,3,0,23,1,0,1
401761593,2025,1,regular,South Alabama,Sun Belt,home,38,3,46,0,1,2,0,0,1,8,0,0,1,3,3,26:22,0,1,1,8-50,4.7,41,193,11.6,13-15,174,367,1-2,2-8,19,10,0,26,3,1,6
401761592,2025,1,regular,Rice,American Athletic,away,14,2,3,0,1,0,37,0,2,2,0,0,1,1,0,36:24,0,0,0,8-90,3.7,55,206,5.0,7-9,45,251,0-1,5-12,18,6,0,34,3,1,1
401761592,2025,1,regular,Louisiana,Sun Belt,home,12,1,23,0,3,0,,,,6,,,,0,1,23:36,1,1,2,6-44,4.9,31,151,3.1,10-28,88,239,0-2,7-15,16,7,0,53,2,0,1
401761591,2025,1,regular,Southeast Missouri State,OVC-Big South,away,24,1,2,0,1,2,7,0,1,6,,,,1,1,29:08,0,1,1,8-71,2.8,33,92,7.6,26-36,272,364,2-3,6-14,20,4,0,32,0,1,2
401761591,2025,1,regular,Arkansas State,Sun Belt,home,42,3,23,0,2,3,30,0,1,6,,,,1,3,30:52,0,1,1,7-70,4.1,36,147,10.8,26-32,345,492,1-2,5-11,25,6,0,32,3,5,1
401761588,2025,1,regular,Saint Francis,NEC,away,0,0,,,,0,54,0,6,,22,0,1,,,29:11,1,0,1,6-58,3.0,27,81,2.5,12-20,50,131,0-1,2-12,7,8,0,39,2,0,3
401761588,2025,1,regular,UL Monroe,Sun Belt,home,29,2,28,0,3,2,,,,5,0,0,1,0,2,30:49,1,0,1,5-45,7.2,43,311,4.7,14-26,123,434,2-2,5-12,22,5,0,30,3,2,2
401752673,2025,1,regular,Mississippi State,SEC,away,34,3,0,0,3,1,,,,10,0,0,1,0,1,30:21,1,0,1,14-119,4.5,42,188,7.5,27-37,277,465,0-0,11-17,23,3,0,17,1,0,7
401752673,2025,1,regular,Southern Miss,Sun Belt,home,17,0,,,,2,32,0,1,5,0,0,1,,,29:39,1,0,1,8-60,2.9,35,102,5.1,26-39,199,301,1-3,10-19,18,4,0,25,1,0,6
401761595,2025,1,regular,Nicholls,Southland,away,20,1,32,0,1,1,,,,8,,,,,,29:13,1,0,1,6-45,2.6,25,65,6.8,21-27,184,249,0-1,4-11,16,2,0,22,1,3,2
401761595,2025,1,regular,Troy,Sun Belt,home,38,2,,,,3,67,0,5,8,1,0,1,,,30:47,0,0,0,8-100,6.2,44,272,6.0,14-24,144,416,1-2,9-15,23,8,0,22,4,2,1
401762456,2025,1,regular,Temple,American Athletic,away,42,0,24,0,1,6,50,0,3,6,0,0,1,1,1,33:46,0,0,0,5-57,5.2,37,191,9.5,22-29,276,467,0-0,9-12,24,4,0,27,2,1,6
401762456,2025,1,regular,Massachusetts,Mid-American,home,10,1,,,,0,,,,4,,,,0,1,26:14,1,1,2,5-32,4.7,22,103,5.0,25-40,199,302,1-3,3-11,18,2,0,30,0,0,2
401757219,2025,1,regular,Delaware State,MEAC,away,17,1,-5,0,1,1,19,0,1,5,,,,1,3,31:53,2,0,2,13-109,4.9,41,200,5.7,13-26,149,349,2-2,6-14,21,3,0,37,2,3,3
401757219,2025,1,regular,Delaware,Conference USA,home,35,1,0,0,1,3,90,0,3,5,45,1,2,0,1,28:07,0,1,1,6-55,5.3,26,137,6.2,31-44,272,409,2-2,8-13,26,7,1,31,2,3,2
401752798,2025,1,regular,USC,Big Ten,home,73,6,,,,3,62,0,3,13,76,1,2,1,1,27:29,0,1,1,5-45,7.8,30,233,13.5,24-27,364,597,0-0,6-7,27,13,1,38,5,0,3
401752798,2025,1,regular,Missouri State,Conference USA,away,13,0,,,,1,35,0,2,7,,,,1,1,32:31,2,1,3,6-60,2.2,29,65,5.7,20-28,159,224,2-2,3-14,11,4,0,31,1,0,1
401767732,2025,1,regular,Lehigh,Patriot,home,21,1,4,0,1,2,17,0,1,3,9,0,1,,,31:35,2,0,2,1-5,4.0,41,163,5.6,13-24,135,298,1-2,5-13,21,,,,,,
401767732,2025,1,regular,Richmond,Patriot,away,14,1,35,0,3,0,99,0,1,2,0,0,2,,,28:25,1,0,1,7-79,2.2,31,68,5.7,14-20,113,181,2-2,4-13,10,,,,,,
401779329,2025,1,regular,Marist,Pioneer,home,31,2,-1,0,1,1,29,0,2,7,43,0,1,3,1,33:07,0,1,1,7-56,5.3,43,230,3.8,11-20,75,305,1-2,4-15,17,,,,,,
401779329,2025,1,regular,New Haven,NEC,away,14,0,36,0,5,2,85,0,5,2,,,,1,3,26:53,1,3,4,9-111,1.1,18,19,6.9,31-55,377,396,1-4,6-15,22,,,,,,
401760359,2025,1,regular,Air Force,Mountain West,home,49,4,7,0,1,2,,,,7,3,0,1,1,0,31:38,0,0,0,5-56,5.2,51,267,17.7,6-9,159,426,1-1,6-9,23,6,1,32,6,2,3
401760359,2025,1,regular,Bucknell,Patriot,away,13,0,,,,1,22,0,1,7,,,,0,1,28:22,1,1,2,6-50,2.6,38,97,7.0,16-24,169,266,1-2,3-11,18,2,0,41,1,1,0
401767256,2025,1,regular,Monmouth,Coastal Athletic,away,42,2,,,,4,49,0,3,4,,,,1,0,27:03,4,0,4,3-32,6.7,28,187,10.9,34-45,491,678,1-2,9-14,32,,,,,,
401767256,2025,1,regular,Colgate,Patriot,home,39,2,,,,3,93,0,5,7,9,0,4,0,1,32:57,0,1,1,4-40,4.4,40,176,9.9,21-37,365,541,2-3,7-14,27,,,,,,
401754518,2025,1,regular,Boston College,ACC,home,66,3,89,0,8,5,37,0,2,12,28,1,1,,,34:05,0,0,0,1-15,2.6,38,98,11.7,31-39,458,556,1-1,12-18,26,8,1,42,3,2,7
401754518,2025,1,regular,Fordham,Patriot,away,10,1,1,0,1,0,79,0,4,4,,,,0,1,25:55,1,0,1,2-15,0.6,27,16,3.9,20-39,152,168,0-0,3-16,13,4,0,48,2,0,4
401762793,2025,1,regular,Northern Illinois,Mid-American,home,19,1,,,,0,139,1,4,7,0,0,1,0,2,33:26,1,0,1,7-48,3.9,46,180,4.5,14-24,109,289,2-3,5-17,17,8,1,32,2,2,4
401762793,2025,1,regular,Holy Cross,Patriot,away,17,0,7,0,1,1,201,1,5,5,0,0,1,,,26:34,1,0,1,1-5,2.5,25,63,5.3,17-29,155,218,0-2,3-12,11,3,1,38,0,1,2
401762790,2025,1,regular,Bowling Green,Mid-American,home,26,1,9,0,1,0,153,1,2,14,,,,,,32:20,0,0,0,4-37,3.7,43,157,6.1,12-18,109,266,0-1,5-13,17,8,1,32,3,1,1
