gameId,season,week,seasonType,team,conference,homeAway,points,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,fumblesRecovered,rushingTDs,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,puntReturnYards,puntReturnTDs,puntReturns,totalFumbles
401234562,2020,2,regular,Clemson,ACC,away,37,11,0,43,6,3,5,0,3,1,15,0,1,13,,,,34:44,1,0,1,5-55,4.0,46,185,10.4,26-36,376,561,0-0,8-15,27,,,,
401234565,2020,2,regular,Syracuse,ACC,away,6,8,0,48,2,2,4,1,0,0,,,,6,29,0,2,27:50,1,0,1,8-60,1.9,35,68,3.5,16-38,134,202,0-1,4-19,15,33,0,2,
401234565,2020,2,regular,North Carolina,ACC,home,31,11,0,41,7,9,5,0,3,1,59,0,3,7,26,0,1,32:09,2,1,3,9-91,4.6,35,160,8.7,26-35,303,463,1-1,5-13,23,93,0,6,
401236041,2020,3,regular,Tulsa,American Athletic,away,7,14,0,56,6,2,1,1,0,1,40,0,2,1,7,0,1,29:27,1,0,1,15-120,3.5,32,111,5.9,18-28,164,275,1-4,0-12,15,2,0,2,
401236041,2020,3,regular,Oklahoma State,Big 12,home,16,7,0,40,1,5,3,0,1,0,26,0,2,10,26,0,1,30:26,1,1,2,8-68,2.9,49,144,6.9,14-20,138,282,0-1,6-15,19,40,0,2,
401239885,2020,3,regular,Abilene Christian,Southland,away,13,4,0,36,2,2,3,0,1,0,33,0,2,7,,,,30:02,0,2,2,6-56,2.9,36,104,9.3,14-22,204,308,2-3,2-12,15,27,0,1,
401239885,2020,3,regular,UTEP,Conference USA,home,17,7,0,35,1,1,3,2,2,0,25,0,1,5,,,,29:58,0,0,0,4-58,2.9,34,98,7.8,15-25,195,293,1-2,4-12,17,-1,0,1,
401207124,2020,3,regular,Western Kentucky,Conference USA,home,24,4,0,38,1,1,7,0,0,3,73,0,5,6,,,,25:01,0,0,0,2-19,3.5,28,98,7.7,18-25,193,291,1-1,3-10,18,-1,0,1,
401207124,2020,3,regular,Liberty,FBS Independents,away,30,5,0,35,0,0,1,0,4,0,68,0,3,6,,,,34:59,0,0,0,8-89,6.1,58,354,6.3,13-21,133,487,3-4,5-14,27,23,0,2,
401240640,2020,3,regular,Troy,Sun Belt,away,47,5,0,45,1,0,6,0,3,3,82,0,4,9,20,0,3,35:45,1,1,2,4-45,4.4,55,240,6.7,27-38,256,496,1-1,13-19,30,,,,
401240640,2020,3,regular,Middle Tennessee,Conference USA,home,14,9,0,60,4,3,3,1,1,1,63,0,3,2,0,0,1,24:15,3,0,3,5-35,3.1,28,87,4.5,21-34,154,241,1-3,6-14,15,10,0,1,
401207120,2020,3,regular,SMU,American Athletic,away,65,5,0,44,1,2,4,1,4,4,100,0,4,17,0,0,1,34:31,0,0,0,4-37,7.2,51,366,10.4,24-33,344,710,1-2,6-14,33,1,0,2,
401207120,2020,3,regular,North Texas,Conference USA,home,35,6,0,48,1,0,2,0,2,3,101,0,5,5,,,,25:29,1,1,2,13-97,4.0,53,212,9.0,17-34,305,517,1-3,8-17,25,0,0,2,
401240041,2020,3,regular,Stephen F. Austin,Southland,away,10,2,0,53,1,3,3,1,0,1,49,0,2,4,0,0,1,27:34,0,1,1,5-45,2.1,28,59,8.6,21-33,285,344,1-1,2-12,15,,,,
401240041,2020,3,regular,UTSA,Conference USA,home,24,10,0,31,3,3,6,1,2,1,16,0,2,6,,,,32:26,1,1,2,7-65,4.8,48,229,7.5,23-36,269,498,0-0,13-19,25,0,0,1,
401207106,2020,3,regular,Southern Miss,Conference USA,home,30,6,0,35,3,2,4,0,1,3,149,0,5,6,15,0,1,27:02,1,0,1,5-45,4.7,29,137,7.7,23-31,240,377,1-2,7-12,20,,,,
401207106,2020,3,regular,Louisiana Tech,Conference USA,away,31,6,0,22,2,0,0,0,0,4,66,0,3,7,23,0,1,27:52,1,0,1,7-48,3.9,42,163,6.2,24-35,218,381,2-3,10-16,26,,,,
401212541,2020,3,regular,Cincinnati,American Athletic,home,55,9,0,38,1,1,4,0,5,3,31,0,2,7,31,0,1,26:54,0,1,1,5-45,6.7,41,276,9.6,17-26,249,525,2-2,6-10,24,7,0,2,
401212541,2020,3,regular,Austin Peay,OVC,away,20,5,0,41,2,0,4,1,2,0,46,0,3,8,,,,33:06,1,0,1,7-53,3.8,37,140,5.5,22-39,213,353,4-5,7-19,18,0,0,1,
401236939,2020,3,regular,App State,Sun Belt,away,7,0,0,18,0,5,8,0,0,1,67,0,4,1,0,0,1,28:01,1,1,2,8-82,2.9,33,96,6.9,22-39,268,364,0-1,4-13,26,7,0,1,
401236939,2020,3,regular,Marshall,Conference USA,home,17,3,0,28,3,8,5,1,2,0,42,0,2,5,0,0,1,31:59,1,0,1,11-117,4.8,45,216,6.5,11-25,163,379,1-2,7-15,22,14,0,3,
