gameId,season,week,seasonType,team,conference,homeAway,points,rushingTDs,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,puntReturnYards,puntReturnTDs,puntReturns,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected
401540508,2023,1,regular,New Hampshire,Coastal Athletic,away,51,1,5,82,0,3,9,4,0,1,1,0,34:11,0,0,0,15-121,4.4,35,153,10.1,19-28,284,437,1-1,6-13,21,119,1,2,,,,,,
401540508,2023,1,regular,Stonehill,NEC,home,17,2,0,61,0,5,5,,,,0,1,25:49,1,1,2,3-20,3.5,36,125,6.1,15-29,178,303,1-2,3-14,17,2,0,1,,,,,,
401540363,2023,1,regular,Presbyterian,Pioneer,away,10,1,0,29,0,3,4,,,,0,,23:07,1,0,1,4-35,4.2,23,97,4.1,11-24,99,196,0-0,3-12,11,,,,,,,,,
401540363,2023,1,regular,Murray State,MVFC,home,41,3,2,46,0,2,11,23,0,1,0,,36:53,0,0,0,9-85,5.3,44,231,10.5,14-24,253,484,1-1,8-15,21,18,0,2,,,,,,
401540278,2023,1,regular,Northern Colorado,Big Sky,away,11,0,1,16,0,1,3,,,,0,,26:54,0,0,0,2-30,3.2,26,84,3.3,18-32,106,190,2-3,5-15,13,,,,,,,,,
401540278,2023,1,regular,Abilene Christian,UAC,home,31,3,1,,,,7,,,,0,1,33:06,0,0,0,11-85,6.5,41,268,7.8,18-29,225,493,1-2,6-11,28,3,0,4,,,,,,
401540173,2023,1,regular,Southern Illinois,MVFC,home,49,3,3,15,0,2,7,26,1,2,1,1,37:40,0,1,1,12-130,3.8,44,169,8.8,20-30,263,432,3-3,5-12,23,-2,0,1,,,,,,
401540173,2023,1,regular,Austin Peay,UAC,away,23,1,2,84,0,6,5,,,,1,1,22:20,2,1,3,6-60,1.7,23,39,6.3,20-34,214,253,1-1,3-12,18,5,0,1,,,,,,
401525818,2023,1,regular,Cincinnati,Big 12,home,66,3,6,42,0,2,12,6,0,2,1,3,31:46,0,1,1,7-55,5.2,44,229,16.2,23-27,438,667,2-2,10-14,30,34,0,4,7,0,32,3,1,2
401525818,2023,1,regular,Eastern Kentucky,UAC,away,13,0,1,118,0,6,7,,,,1,3,28:14,2,1,3,7-42,3.9,32,125,7.1,13-25,177,302,0-1,3-11,15,,,,6,0,32,2,0,1
401540200,2023,1,regular,Chattanooga,Southern,away,27,1,2,56,0,3,9,,,,1,1,34:19,1,0,1,6-62,4.2,42,177,6.8,22-46,311,488,0-1,5-16,29,28,0,4,,,,,,
401540200,2023,1,regular,North Alabama,UAC,home,41,2,4,56,0,3,5,0,0,1,0,2,25:41,0,1,1,6-75,7.0,35,246,9.3,16-29,271,517,2-4,2-12,21,25,0,3,,,,,,
401540199,2023,1,regular,Mercer,Southern,home,17,1,1,43,0,1,5,,,,0,2,32:35,0,2,2,6-43,3.2,53,170,6.8,12-17,115,285,2-3,6-16,21,7,0,3,,,,,,
