season,team,conference,returning_total_ppa,returning_passing_ppa,returning_receiving_ppa,returning_rushing_ppa,returning_percent_ppa,returning_percent_passing_ppa,returning_percent_receiving_ppa,returning_percent_rushing_ppa,returning_usage,returning_passing_usage,returning_receiving_usage,returning_rushing_usage
2021,Tennessee,SEC,76.0,16.7,57.4,1.9,0.31,0.305,0.419,0.036,0.273,0.283,0.431,0.15
2021,Texas,Big 12,160.0,15.7,96.2,48.1,0.441,0.136,0.548,0.668,0.395,0.069,0.596,0.568
2021,Texas A&M,SEC,241.5,6.2,156.4,78.8,0.629,0.05,0.923,0.875,0.599,0.018,0.967,0.81
2021,Texas State,Sun Belt,248.8,51.7,140.2,56.9,0.882,1.002,0.806,1.005,0.905,0.998,0.702,0.985
2021,Texas Tech,Big 12,180.0,34.5,84.1,61.3,0.629,0.459,0.564,0.986,0.679,0.443,0.693,0.972
2021,Toledo,Mid-American,201.2,43.0,145.0,13.2,0.708,0.397,0.903,0.898,0.715,0.414,0.921,0.85
2021,Troy,Sun Belt,172.9,79.3,72.2,21.5,0.544,0.781,0.37,1.019,0.678,0.659,0.505,0.958
2021,Tulane,American Athletic,266.9,45.1,133.0,88.8,0.875,1.414,0.932,0.682,0.699,0.822,0.79,0.559
2021,Tulsa,American Athletic,166.9,15.5,143.4,8.1,0.735,0.229,0.988,0.574,0.471,0.141,0.985,0.367
2021,UAB,Conference USA,158.7,80.9,58.8,19.0,0.63,0.963,0.45,0.503,0.635,0.996,0.488,0.469
2021,UCF,American Athletic,320.3,182.3,105.5,32.5,0.626,0.948,0.43,0.439,0.589,0.993,0.39,0.345
2021,UCLA,Pac-12,220.0,80.7,101.8,37.5,0.853,1.0,0.837,0.678,0.757,1.0,0.803,0.559
2021,UL Monroe,Sun Belt,144.3,32.4,102.0,9.9,0.913,1.035,0.749,-1.053,0.778,0.998,0.641,0.569
2021,UNLV,Mountain West,73.1,5.4,61.3,6.4,0.604,0.397,1.01,0.136,0.584,0.219,0.919,0.708
2021,USC,Pac-12,182.1,91.8,77.8,12.5,0.709,0.794,0.543,-8.333,0.653,0.902,0.491,0.428
2021,UTEP,Conference USA,198.6,74.0,98.7,26.0,1.051,1.032,0.923,2.6,0.873,0.992,0.877,0.766
2021,UTSA,Conference USA,280.1,57.6,125.3,97.2,0.949,1.0,0.919,0.963,0.958,1.0,0.87,0.985
2021,Utah,Pac-12,40.5,-1.4,40.1,1.8,0.368,-0.056,0.69,0.065,0.268,0.043,0.683,0.148
2021,Utah State,Mountain West,41.7,0.7,31.7,9.3,0.907,-0.064,0.861,0.472,0.51,0.401,0.784,0.404
2021,Vanderbilt,SEC,149.9,43.6,115.7,-9.4,1.056,1.0,1.002,0.54,0.934,1.0,0.967,0.781
2021,Virginia,ACC,259.7,69.4,118.4,71.9,0.892,0.973,0.801,1.0,0.942,0.997,0.817,1.0
2021,Virginia Tech,ACC,187.0,32.3,130.2,24.6,0.565,0.385,0.91,0.237,0.528,0.393,0.921,0.419
2021,Wake Forest,ACC,312.3,118.6,186.6,7.1,0.919,1.0,0.983,0.222,0.853,1.0,0.936,0.647
2021,Washington,Pac-12,114.6,45.9,40.3,28.3,0.83,0.964,0.641,1.014,0.916,0.991,0.727,0.986
2021,Washington State,Pac-12,25.1,0.7,1.2,23.1,0.784,0.179,0.235,0.983,0.855,0.667,0.773,0.936
2021,West Virginia,Big 12,236.5,89.1,114.4,32.9,0.91,0.93,0.811,1.424,0.845,0.943,0.816,0.751
2021,Western Kentucky,Conference USA,63.8,-1.9,59.8,5.9,0.506,-0.198,0.76,0.155,0.319,0.008,0.716,0.299
2021,Western Michigan,Mid-American,219.2,101.8,75.7,41.6,0.821,1.0,0.616,0.981,0.894,1.0,0.613,0.991
2021,Wisconsin,Big Ten,105.8,20.5,56.8,28.6,0.808,0.854,0.77,0.869,0.665,0.99,0.607,0.474
2021,Wyoming,Mountain West,93.8,8.1,41.7,44.1,0.853,1.0,0.784,0.913,0.946,1.0,0.747,0.988
