id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,playoff,home_pregame_offense_ppa,home_pregame_offense_successRate,home_pregame_offense_explosiveness,home_pregame_defense_ppa,home_pregame_defense_successRate,home_pregame_defense_explosiveness,away_pregame_offense_ppa,away_pregame_offense_successRate,away_pregame_offense_explosiveness,away_pregame_defense_ppa,away_pregame_defense_successRate,away_pregame_defense_explosiveness
401239973,2020,2,regular,2020-09-12 23:30:00+00:00,False,True,False,False,6000.0,6526.0,Hancock Whitney Stadium,6,South Alabama,fbs,Sun Belt,24.0,"[0, 14, 10, 0]",0.6304398648486921,1272.0,1282.0,2655,Tulane,fbs,American Athletic,27.0,"[0, 6, 7, 14]",0.3695601351513079,1531.0,1521.0,8.4177973424,https://www.youtube.com/watch?v=UvWJEWeeKpY,,,0.2950010890162073,0.5,1.4008125290427442,0.2274361901737749,0.4057971014492754,1.4383853728160607,,,,,,
401234562,2020,2,regular,2020-09-12 23:30:00+00:00,False,True,False,True,68.0,3630.0,Allegacy Federal Credit Union Stadium,154,Wake Forest,fbs,ACC,13.0,"[0, 0, 3, 10]",0.0006830019631616,1510.0,1506.0,228,Clemson,fbs,ACC,37.0,"[14, 13, 10, 0]",0.9993169980368384,2062.0,2066.0,0.2919910883,https://www.youtube.com/watch?v=CGH54tBpV8U,,,,,,,,,,,,,,
401236039,2020,2,regular,2020-09-13 00:00:00+00:00,False,True,False,False,11157.0,3784.0,Jones AT&T Stadium,2641,Texas Tech,fbs,Big 12,35.0,"[14, 7, 7, 7]",0.9461823888211376,,,2277,Houston Christian,fcs,Southland,33.0,"[3, 7, 10, 13]",0.0538176111788625,,,2.1597584691,https://www.youtube.com/watch?v=HSFruLzEXFE,,,,,,,,,0.2951795189451562,0.4767441860465116,1.2146863730397666,0.5824923399532158,0.5116279069767442,1.6212881315156695
401236222,2020,2,regular,2020-09-13 00:00:00+00:00,False,True,False,False,15337.0,3910.0,DKR-Texas Memorial Stadium,251,Texas,fbs,Big 12,59.0,"[21, 24, 7, 7]",0.9989579054533634,1744.0,1833.0,2638,UTEP,fbs,Conference USA,3.0,"[0, 3, 0, 0]",0.0010420945466366,1145.0,1056.0,1.0180516733,https://www.youtube.com/watch?v=AeTry4rSNtc,,,,,,,,,0.1897031057907496,0.3846153846153846,1.5105306987057567,0.1762791474391827,0.4318181818181818,1.2370367546967131
401234564,2020,2,regular,2020-09-13 00:00:00+00:00,False,True,False,False,11179.0,3873.0,L&N Federal Credit Union Stadium,97,Louisville,fbs,ACC,35.0,"[7, 21, 7, 0]",0.9976235561509056,1437.0,1472.0,98,Western Kentucky,fbs,Conference USA,21.0,"[7, 0, 7, 7]",0.0023764438490944,1515.0,1480.0,2.872543934,https://www.youtube.com/watch?v=F7iVWQf7nHA,,,,,,,,,,,,,,
401236658,2020,2,regular,2020-09-13 02:00:00+00:00,False,True,False,False,0.0,3833.0,Memorial Stadium,2305,Kansas,fbs,Big 12,23.0,"[0, 3, 14, 6]",0.1046090752544779,1315.0,1280.0,324,Coastal Carolina,fbs,Sun Belt,38.0,"[14, 14, 0, 10]",0.8953909247455221,1316.0,1351.0,3.3118189868,https://www.youtube.com/watch?v=O8AI01dJz_o,,,,,,,,,,,,,,
401240126,2020,3,regular,2020-09-18 23:30:00+00:00,False,True,False,False,5000.0,3654.0,Brooks Stadium (SC),324,Coastal Carolina,fbs,Sun Belt,43.0,"[14, 7, 7, 15]",0.998930883537024,,,2097,Campbell,fcs,Big South,21.0,"[0, 9, 0, 12]",0.0010691164629759,,,1.5471460721,https://www.youtube.com/watch?v=4KY782Y_qdI,,,0.260727843130181,0.5166666666666667,0.9956293876196474,0.1400292955881709,0.4246575342465753,1.3734461146341428,0.3501050782243273,0.5,1.2383707026114636,0.2212094545046004,0.46875,0.9660563021622948
401236041,2020,3,regular,2020-09-19 16:00:00+00:00,False,True,False,False,14668.0,3646.0,Boone Pickens Stadium,197,Oklahoma State,fbs,Big 12,16.0,"[3, 0, 0, 13]",0.5953293217331477,1596.0,1599.0,202,Tulsa,fbs,American Athletic,7.0,"[0, 7, 0, 0]",0.4046706782668523,1413.0,1410.0,6.4507386828,https://www.youtube.com/watch?v=Q7ogziRlGFY,,,,,,,,,,,,,,
401234567,2020,3,regular,2020-09-19 16:00:00+00:00,False,True,False,True,0.0,3982.0,Wallace Wade Stadium,150,Duke,fbs,ACC,6.0,"[6, 0, 0, 0]",0.0053806522110416,1416.0,1371.0,103,Boston College,fbs,ACC,26.0,"[7, 0, 16, 3]",0.9946193477889584,1465.0,1510.0,4.6771712511,https://www.youtube.com/watch?v=HCIhHlAFAZo,,,0.0180929711212725,0.3181818181818182,1.358344078977359,0.1780121980482739,0.3888888888888889,1.3144898144603272,,,,,,
401212541,2020,3,regular,2020-09-19 16:00:00+00:00,False,True,False,False,0.0,3854.0,Nippert Stadium,2132,Cincinnati,fbs,American Athletic,55.0,"[14, 14, 14, 13]",0.9988253566451528,,,2046,Austin Peay,fcs,OVC,20.0,"[3, 0, 3, 14]",0.001174643354847,,,1.1096572091,https://www.youtube.com/watch?v=2wgK8vIQAX0,,,,,,,,,-0.1095750667189323,0.2222222222222222,1.2673590270506638,0.4607115268708761,0.5873015873015873,1.2421642376741122
