iteration,model__n_estimators,model__min_samples_split,model__min_samples_leaf,model__max_features,model__max_depth,model__bootstrap,log_loss,brier_score,roc_auc,accuracy,balanced_accuracy,fold,train_start_season,train_end_season,validation_season,train_rows,validation_rows
5,750,10,25,0.5,,True,0.4956616388749925,0.1627614915334307,0.8156458719072149,0.75,0.7160473458114112,1.0,2015.0,2018.0,2019.0,3339.0,848.0
5,750,10,25,0.5,,True,0.5346552529778527,0.1785263166823879,0.8008771806514191,0.7306273062730627,0.7063834572725867,2.0,2015.0,2019.0,2020.0,4187.0,542.0
5,750,10,25,0.5,,True,0.5225768996464693,0.1734098776482557,0.8003582919843955,0.7373380447585395,0.6990288401475597,3.0,2015.0,2020.0,2021.0,4729.0,849.0
5,750,10,25,0.5,,True,0.5761585706868948,0.1965258045360022,0.7396201934418494,0.6826697892271663,0.6471101674923331,4.0,2015.0,2021.0,2022.0,5578.0,854.0
6,750,30,25,0.5,8.0,False,0.5004203941340445,0.1647903090685731,0.8114355900199821,0.7476415094339622,0.715008524445911,1.0,2015.0,2018.0,2019.0,3339.0,848.0
6,750,30,25,0.5,8.0,False,0.5371141437481827,0.1787196449045773,0.8007366068290762,0.7306273062730627,0.7077329659670777,2.0,2015.0,2019.0,2020.0,4187.0,542.0
6,750,30,25,0.5,8.0,False,0.5224853103399263,0.1731188503859394,0.7996570297123057,0.7408716136631331,0.7030831968130871,3.0,2015.0,2020.0,2021.0,4729.0,849.0
6,750,30,25,0.5,8.0,False,0.5856330006820383,0.2006283136708962,0.7307029959896202,0.6814988290398126,0.6435185185185186,4.0,2015.0,2021.0,2022.0,5578.0,854.0
7,1000,30,15,1.0,20.0,False,2.063441632733161,0.2062853984451747,0.7453971047437471,0.7169811320754716,0.681326269348048,1.0,2015.0,2018.0,2019.0,3339.0,848.0
7,1000,30,15,1.0,20.0,False,1.606761449897092,0.2131049695226149,0.7514162812601037,0.6937269372693727,0.6723364775011598,2.0,2015.0,2019.0,2020.0,4187.0,542.0
7,1000,30,15,1.0,20.0,False,2.005528217380597,0.2165789023471325,0.7409012693436421,0.6949352179034158,0.6678933845628012,3.0,2015.0,2020.0,2021.0,4729.0,849.0
7,1000,30,15,1.0,20.0,False,2.4306980236837714,0.269901545043329,0.6325754895022411,0.617096018735363,0.5912597310686483,4.0,2015.0,2021.0,2022.0,5578.0,854.0
8,500,30,5,1.0,12.0,False,2.3657699252388027,0.2209194302654649,0.7289867825258025,0.7087264150943396,0.6695417575635361,1.0,2015.0,2018.0,2019.0,3339.0,848.0
8,500,30,5,1.0,12.0,False,1.9047695116058216,0.2292906144271735,0.7269986083191589,0.6697416974169742,0.6438632497856249,2.0,2015.0,2019.0,2020.0,4187.0,542.0
8,500,30,5,1.0,12.0,False,2.570353789449853,0.2341890348235775,0.7140293705139841,0.6843345111896348,0.6623746272702629,3.0,2015.0,2020.0,2021.0,4729.0,849.0
8,500,30,5,1.0,12.0,False,2.9559021053564405,0.266753844196031,0.6511795234725172,0.639344262295082,0.596856569945742,4.0,2015.0,2021.0,2022.0,5578.0,854.0
9,750,5,5,0.25,12.0,False,0.5054392401889228,0.1663370667034398,0.8104517650797142,0.7429245283018868,0.7090505783790719,1.0,2015.0,2018.0,2019.0,3339.0,848.0
9,750,5,5,0.25,12.0,False,0.5428297118805351,0.1818224426698738,0.7930472187469251,0.7177121771217713,0.6947369160914854,2.0,2015.0,2019.0,2020.0,4187.0,542.0
