rank,feature,importance
198,awayTacklesForLossBefore_away,0.0006579021866123701
199,firstDownsBefore_home,0.00065317271669353
200,awayFourthDownAttemptsAvgBefore_away,0.0006506519840742169
201,awayTurnoversBefore_away,0.0006488782427025879
202,awayPassingTDsBefore_away,0.0006447020488513684
203,homeQbHurriesAvgBefore_home,0.0006404299981585157
204,homeRushingTDsAvgBefore_home,0.000633955224238681
205,homeQbHurriesBefore_home,0.0006284628753266509
206,sacksAvgLast3_home,0.0006242426426786843
207,possessionSecondsBefore_home,0.0006143619113785697
208,homeTacklesForLossAvgBefore_home,0.0005967277769493232
209,awayFumblesLostAvgBefore_away,0.0005840940838165218
210,interceptionsBefore_home,0.0005831883105725037
211,winsBefore_home,0.0005819198699455579
212,awayQbHurriesBefore_away,0.0005616269391450554
213,awayFourthDownPctBefore_away,0.0005590541039935475
214,rushingYardsAvgLast3_away,0.0005575241421923255
215,awayPenaltyYardsBefore_away,0.0005528718355442634
216,qbHurriesBefore_home,0.0005507405942547378
217,turnoversAvgBefore_away,0.0005421767082825137
218,passesDeflectedAvgLast5_home,0.0005403518526860833
219,awayThirdDownAttemptsBefore_away,0.00053930079184108
220,passingTDsBefore_home,0.0005303082187679833
221,awayPenaltiesBefore_away,0.0005279580899386007
222,homeFumblesLostAvgBefore_home,0.0005238900600100254
223,homeCompletionsAvgBefore_home,0.0005220179717208902
224,thirdDownConversionsBefore_away,0.0005215666188204992
225,fourthDownAttemptsAvgBefore_home,0.0005022110973205415
226,tacklesForLossBefore_away,0.0005007021042905786
227,passingTDsBefore_away,0.0004718739469322725
228,winPctBefore_away,0.0004647845249731241
229,homePenaltiesAvgBefore_home,0.0004630721301832714
230,winPctLast5_away,0.000459494792152742
231,homeSacksAvgBefore_home,0.0004535525159187842
232,sacksBefore_home,0.0004532597076448423
233,turnoversAvgLast3_home,0.00044928966055615596
234,interceptionsAvgBefore_away,0.00043214702300034275
235,homePassingTDsBefore_home,0.00042716006083300204
236,qbHurriesAvgBefore_home,0.0004261427774282668
237,qbHurriesAvgLast3_away,0.00042558939301309633
238,awayCompletionsBefore_away,0.0004174189910666189
239,homePenaltiesBefore_home,0.00039926867653237226
240,awayThirdDownConversionsAvgBefore_away,0.0003943692538785503
241,homeFourthDownPctBefore_home,0.0003897984039152944
242,turnoversAvgLast5_away,0.00037407213064953235
243,qbHurriesAvgLast5_home,0.00036610251965636144
244,homeThirdDownConversionsAvgBefore_home,0.0003659004978584175
245,awayPossessionSecondsBefore_away,0.00036274479103866146
246,netPassingYardsAvgBefore_away,0.00036207167236281077
247,netPassingYardsBefore_home,0.0003551352801801358
248,awayPassesDeflectedAvgBefore_away,0.00035400428765135
249,awayDefensiveTDsAvgBefore_away,0.000343080532841269
250,tacklesForLossAvgLast3_home,0.0003424693506906486
251,defensiveTDsAvgBefore_away,0.00034236301675293654
252,fourthDownConversionsAvgBefore_home,0.0003408161147319357
253,passAttemptsBefore_away,0.0003194323174237661
254,homeDefensiveTDsAvgBefore_home,0.0003170685774618546
255,thirdDownAttemptsBefore_away,0.0003158889747807449
256,awayPassAttemptsBefore_away,0.0003145003293690665
257,awayRushingTDsBefore_away,0.00031088695933591433
258,fourthDownAttemptsBefore_home,0.00030581978092608837
259,fumblesLostBefore_home,0.00029377694369633965
260,homePointsForBefore_home,0.0002762952141435995
261,awayRushingAttemptsBefore_away,0.0002748178689110289
262,firstDownsBefore_away,0.0002664067758087757
263,completionsBefore_home,0.00026350539220381763
264,turnoversAvgLast3_away,0.0002629543432620911
265,sacksAvgLast5_home,0.00024955778058644414
266,rushingTDsAvgBefore_away,0.00023368584630756488
267,pointsAgainstAvgLast3_home,0.00023142504884653557
268,fourthDownConversionsBefore_away,0.00023100397902249577
269,homeRushingYardsBefore_home,0.00022878405043197687
270,homePointsAgainstBefore_home,0.0002270463276246161
271,homeNetPassingYardsBefore_home,0.00022379615097867486
272,rushingAttemptsBefore_home,0.00021422578502539242
