rank,n_estimators,learning_rate,max_depth,min_samples_leaf,subsample,mean_log_loss,std_log_loss,mean_brier_score,std_brier_score,mean_roc_auc,std_roc_auc,mean_accuracy,std_accuracy,mean_balanced_accuracy,mean_precision,mean_recall,fold_1_log_loss,fold_1_brier_score,fold_1_roc_auc,fold_1_accuracy,fold_2_log_loss,fold_2_brier_score,fold_2_roc_auc,fold_2_accuracy,fold_3_log_loss,fold_3_brier_score,fold_3_roc_auc,fold_3_accuracy,fold_4_log_loss,fold_4_brier_score,fold_4_roc_auc,fold_4_accuracy
42,500,0.03,2,10,1.0,0.5334473873323703,0.02505465395855263,0.17836004023458055,0.010363340667195393,0.7882428941124628,0.024456543024339465,0.732404583767085,0.017787674381444303,0.6985963821472949,0.7581818543390609,0.8380228975291601,0.5019741900167444,0.16546920260789805,0.8073414116971286,0.7570754716981132,0.5305663229766298,0.17759633199890226,0.8044969565767464,0.7232472324723247,0.5291539288497715,0.1759782126994561,0.7944270274729807,0.7396937573616019,0.5720951074863357,0.19439641363206572,0.746706180702996,0.7096018735362998
43,500,0.03,2,3,1.0,0.5334524920649114,0.024730876840403027,0.17826185233991454,0.010239776840309479,0.7884727330303969,0.02344687439438747,0.7311457277030058,0.018205113655674798,0.6967973692564273,0.7564857262153242,0.8386694129455695,0.5006926708774133,0.16501430775210593,0.8086613259027051,0.7535377358490566,0.5344446500635027,0.17890679403179252,0.8011512996049875,0.7158671586715867,0.5285074662350149,0.1755053965685348,0.7953905264770704,0.7444051825677267,0.5701651810837148,0.1936209110072249,0.7486877801368248,0.7107728337236534
44,350,0.05,2,10,1.0,0.5334590208172763,0.024154835416099384,0.17829908271085082,0.009956113871723278,0.7884953914615871,0.024058575544226347,0.7292543705242065,0.01722218705655016,0.6956761410684954,0.7564351081899454,0.8344641294947708,0.5038532897726016,0.1663475962958528,0.8065531296021313,0.7523584905660378,0.5296659035332888,0.17735804183077483,0.8051365674684061,0.7177121771217713,0.5291204351939017,0.1755349012493306,0.7947069430857898,0.7385159010600707,0.5711964547693131,0.19395579146744504,0.7475849256900213,0.7084309133489461
45,200,0.03,4,10,1.0,0.5335040252909731,0.029180607832530625,0.1783175628199079,0.011979189992526184,0.7875848708826002,0.02844601693251257,0.7307689181433444,0.019516547445235042,0.6963208040036474,0.7572561298195211,0.8352061285845642,0.5000139335560917,0.1648474524035334,0.8089118651732081,0.7452830188679245,0.5319029853310656,0.1777230350025286,0.8038924891406722,0.7343173431734318,0.5221862219766664,0.17323997670945104,0.7988320152745532,0.7455830388692579,0.5799129603000688,0.19745978716411866,0.7387031139419674,0.6978922716627635
46,750,0.03,2,10,0.75,0.5335143656447591,0.0237524289971041,0.1784063544375163,0.00992041072528321,0.7906027376939503,0.023581021449013775,0.7299377434205031,0.02127848443364422,0.6968557705537566,0.757569845297384,0.8329690612989136,0.5071909129106754,0.16787267373914888,0.8054348689557401,0.7547169811320755,0.5320115558918705,0.17792337645129677,0.80613464160704,0.7250922509225092,0.523195508834682,0.17338417774361706,0.8009358020908223,0.7420494699646644,0.5716594849418081,0.1944451898160025,0.7499056381221986,0.6978922716627635
47,350,0.05,2,3,1.0,0.5335172243846956,0.02445140539850062,0.17822052320593001,0.010101492115571233,0.7881295013384759,0.0240154494944733,0.7279048866469355,0.015140449821343958,0.694396799774982,0.755689316407009,0.8327729894188756,0.5016068487646087,0.16539544376047463,0.808704100900108,0.7476415094339622,0.5338156101748518,0.17870945849309847,0.8014043324852047,0.7158671586715867,0.528425075278616,0.17524122886080976,0.7950222164602165,0.7373380447585395,0.5702213633207059,0.19353596170933712,0.7473873555083745,0.7107728337236534
48,350,0.05,2,5,0.75,0.5335936097496935,0.02212659142388941,0.17832338517905733,0.009196929816346486,0.7896667675269271,0.022028501147837328,0.7323115252362895,0.014196889904398987,0.6993575698653498,0.7595609053687677,0.8348055283849096,0.5083005737708863,0.16829680231985705,0.8034794405030341,0.7476415094339622,0.5311333754232754,0.17735478889551795,0.8048132476770176,0.7287822878228782,0.525936181608592,0.17442904876573564,0.7986552264664633,0.7420494699646644,0.5690043081960203,0.1932129007351187,0.7517191554611937,0.7107728337236534
49,200,0.1,2,10,1.0,0.5335978162444938,0.025593649556580018,0.17843153355910593,0.010473902233311311,0.7885232739259979,0.024708689188455705,0.7310173596740426,0.01712165402967352,0.6975747794194611,0.7578506396518684,0.8352686478841873,0.5015565221948401,0.16541388884604638,0.8086643812596626,0.7511792452830188,0.5305670680693709,0.17784836531707218,0.804581300870152,0.7177121771217713,0.5291192335821774,0.175837252804547,0.7941235400190932,0.7444051825677267,0.5731484411315867,0.19462662726875812,0.7467238735550837,0.7107728337236534
50,750,0.03,2,5,0.75,0.5336081010647358,0.0229144950918715,0.17828272839112033,0.009626987472665315,0.7904305597405619,0.022763751336283115,0.7315737535228636,0.020802965802073293,0.6980742810044884,0.7578315645197777,0.8367411304987714,0.5075029203240587,0.16789768956530257,0.8048360189920989,0.7558962264150944,0.5334890915630096,0.17810679389103462,0.8055723463176688,0.7269372693726938,0.5235367145711989,0.1733880372168514,0.8001461454146875,0.7432273262661955,0.5699036778006756,0.19373839289129277,0.751167728237792,0.7002341920374707
51,350,0.03,2,5,1.0,0.5336097082244918,0.025638973683811805,0.1783474633193595,0.010669308723322227,0.788220127612837,0.024306420283328536,0.730388306616411,0.01753464571061838,0.6962601622808188,0.7565120838430959,0.8372917878591106,0.49980696339976066,0.16445253321493936,0.8089821383832272,0.7535377358490566,0.5349637133808158,0.179126801372979,0.8010177544737618,0.7269372693726938,0.5279422000493345,0.17553373954527732,0.7959886619444412,0.7361601884570083,0.5717259560680567,0.19427677914424235,0.7468919556499175,0.7049180327868853
