column,current_category,predictive_safe_current,target_candidate_current,leakage_risk_current,automatic_suggestion,feature_context
homeId,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,HOME
homeClassification,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,HOME
homeConference,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,HOME
homeLineScores,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,HOME
homePostgameWinProbability,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,HOME
homePostgameElo,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,HOME
awayId,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,AWAY
awayClassification,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,AWAY
awayConference,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,AWAY
awayLineScores,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,AWAY
awayPostgameWinProbability,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,AWAY
awayPostgameElo,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,AWAY
excitementIndex,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
highlights,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
notes,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
playoff,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
home_pregame_offense_ppa,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,HOME
home_pregame_offense_successRate,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,HOME
home_pregame_offense_explosiveness,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,HOME
home_pregame_defense_ppa,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,HOME
home_pregame_defense_successRate,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,HOME
home_pregame_defense_explosiveness,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,HOME
away_pregame_offense_ppa,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,AWAY
away_pregame_offense_successRate,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,AWAY
away_pregame_offense_explosiveness,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,AWAY
away_pregame_defense_ppa,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,AWAY
away_pregame_defense_successRate,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,AWAY
away_pregame_defense_explosiveness,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,AWAY
