year,team,recruiting_count,recruiting_rated_count,recruiting_avg_rating,recruiting_max_rating,recruiting_5star_count,recruiting_4star_count,recruiting_top_100_count
2023,Idaho,32,30,0.8024166666666667,0.86,0,0,0
2023,Idaho State,9,7,0.8057142857142857,0.84,0,0,0
2023,Illinois,22,22,0.8583227272727272,0.9167,0,3,0
2023,Illinois State,8,4,0.798325,0.83,0,0,0
2023,Incarnate Word,14,3,0.8555,0.8626,0,0,0
2023,Indiana,14,12,0.864525,0.8892,0,0,0
2023,Indiana State,14,4,0.7825,0.82,0,0,0
2023,Iowa,25,25,0.858576,0.9055,0,2,0
2023,Iowa State,26,24,0.8579333333333333,0.9435,0,1,0
2023,Jackson State,12,8,0.8389375,0.8731,0,0,0
2023,Jacksonville State,13,2,0.83925,0.84,0,0,0
2023,James Madison,18,2,0.82965,0.8337,0,0,0
2023,Kansas,16,13,0.8606769230769231,0.8794,0,0,0
2023,Kansas State,23,23,0.8649173913043479,0.9542,0,3,1
2023,Kennesaw State,9,2,0.83975,0.8558,0,0,0
2023,Kent State,14,10,0.81332,0.86,0,0,0
2023,Kentucky,18,18,0.8804222222222222,0.9036,0,7,0
2023,LSU,28,26,0.9198538461538461,0.9909,2,16,5
2023,Liberty,14,9,0.8436888888888888,0.8653,0,0,0
2023,Lindenwood,1,1,0.79,0.79,0,0,0
2023,Louisiana,20,15,0.8376466666666667,0.8744,0,0,0
2023,Louisiana Tech,21,21,0.8354190476190476,0.8619,0,0,0
2023,Louisville,19,17,0.8921176470588236,0.944,0,7,0
2023,Maine,6,1,0.74,0.74,0,0,0
2023,Marshall,18,8,0.829325,0.85,0,0,0
2023,Maryland,25,25,0.86394,0.9156,0,4,0
2023,Massachusetts,7,6,0.8272,0.8433,0,0,0
2023,McNeese,4,1,0.8703,0.8703,0,0,0
2023,Memphis,19,17,0.8446,0.8958,0,1,0
2023,Miami,25,23,0.9195,0.996,2,14,4
2023,Miami (OH),16,14,0.8192,0.8475,0,0,0
2023,Michigan,27,27,0.8826777777777778,0.9453,0,11,0
2023,Michigan State,18,18,0.8809666666666667,0.975,0,7,1
2023,Middle Tennessee,14,6,0.8311833333333333,0.8404,0,0,0
2023,Minnesota,26,26,0.8483153846153846,0.8981,0,2,0
2023,Mississippi State,23,23,0.8743652173913045,0.9385,0,4,0
2023,Mississippi Valley State,3,1,0.8317,0.8317,0,0,0
2023,Missouri,19,19,0.8723368421052632,0.9151,0,5,0
2023,Missouri State,13,7,0.8057142857142857,0.84,0,0,0
2023,Monmouth,5,1,0.815,0.815,0,0,0
2023,Montana,12,11,0.7875727272727272,0.8433,0,0,0
2023,Montana State,12,8,0.8025,0.83,0,0,0
2023,Morgan State,8,1,0.77,0.77,0,0,0
2023,Murray State,6,1,0.8478,0.8478,0,0,0
