feature,coefficient,absolute_coefficient,odds_ratio
matchup_firstDownsAvgBefore,0.08395135285108549,0.08395135285108549,1.0875759850510058
matchup_RushingAttemptsAvgBefore,-0.08296309397490235,0.08296309397490235,0.9203851143494547
matchup_yardsPerPassAttemptBefore,0.08179602456940374,0.08179602456940374,1.085234426092535
matchup_thirdDownConversionsAvgBefore,-0.07877854878236368,0.07877854878236368,0.9242445768709279
matchup_pointsAgainstAvgBefore,-0.07712101477341476,0.07712101477341476,0.9257778140350126
matchup_pointsForBefore,-0.07409144959277394,0.07409144959277394,0.9285867710762
matchup_TacklesForLossAvgBefore,-0.0691041667747714,0.0691041667747714,0.9332294635115861
matchup_penaltyYardsBefore,-0.06849626192808606,0.06849626192808606,0.9337969506971535
matchup_NetPassingYardsBefore,-0.06844435102061484,0.06844435102061484,0.9338454262024509
matchup_turnoversAvgLast3,-0.06832273671896641,0.06832273671896641,0.9339590020678908
matchup_FumblesLostBefore,0.06690782299698188,0.06690782299698188,1.0691969182646295
matchup_passesDeflectedAvgLast3,-0.06418144688016078,0.06418144688016078,0.9378348168900109
matchup_sacksAvgLast5,0.060406076892175,0.060406076892175,1.0622678213896264
matchup_TurnoversBefore,0.05976860835151716,0.05976860835151716,1.0615908748607195
matchup_winPctBefore,0.05946409991813463,0.05946409991813463,1.0612676606997387
matchup_SacksBefore,-0.05943065596046376,0.05943065596046376,0.9423008742747911
matchup_rushingYardsBefore,0.057734946188007695,0.057734946188007695,1.0594341514321166
matchup_passingTDsBefore,0.055020227250769375,0.055020227250769375,1.0565619858035942
matchup_qbHurriesBefore,-0.05476554594610521,0.05476554594610521,0.9467070812489365
matchup_ThirdDownConversionsAvgBefore,0.04990172454288667,0.04990172454288667,1.0511677873049339
matchup_winPctLast5,-0.049045581069309924,0.049045581069309924,0.9521377292535633
matchup_FourthDownAttemptsAvgBefore,-0.047117832084013475,0.047117832084013475,0.9539749821071875
matchup_PointsAgainstBefore,0.04492030055095345,0.04492030055095345,1.0459444953866923
