iteration,model__n_estimators,model__min_samples_split,model__min_samples_leaf,model__max_features,model__max_depth,model__bootstrap,mean_log_loss,std_log_loss,min_log_loss,max_log_loss,mean_brier_score,std_brier_score,min_brier_score,max_brier_score,mean_roc_auc,std_roc_auc,min_roc_auc,max_roc_auc,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_balanced_accuracy,std_balanced_accuracy,min_balanced_accuracy,max_balanced_accuracy,rank
57,1000,2,10,0.25,,True,0.5334194582936693,0.026375120620826167,0.49791013197948886,0.5713865054080116,0.1783264002984052,0.011078876618502395,0.16373692143735313,0.1945109586845405,0.7886311596982122,0.027054753454092067,0.7438487850908233,0.8165685897083357,0.7250681356216218,0.021724435727501084,0.6908665105386417,0.7488207547169812,0.6907256526195502,0.023386203839094382,0.6515923566878981,0.7135877834607417,11
11,500,10,30,0.25,16.0,True,0.5335272754623998,0.022648220015845547,0.502311596877995,0.5653001697841845,0.17831323399083995,0.009452967493022279,0.16535107865114052,0.19158013629034512,0.7888425611833665,0.023760548704635034,0.7492569002123144,0.8125110756689704,0.7311100925893443,0.020563507875939063,0.702576112412178,0.7594339622641509,0.6952775131496358,0.023306861466210728,0.6595187544232131,0.7248589952764182,12
16,1000,10,25,0.25,12.0,False,0.5337416854605548,0.02601020228232264,0.49992602916018963,0.5717283257915706,0.17855319473204528,0.010754535289772224,0.1648425808421545,0.19442828165355913,0.7876685299096462,0.027113532058190365,0.742173861759849,0.8137698827354001,0.724731788782635,0.021318712365112753,0.6920374707259953,0.7452830188679245,0.6895340051013532,0.022850613557411237,0.6511854210898798,0.7093133390774045,13
52,1000,30,20,0.25,12.0,False,0.5340321778731779,0.02691744058147427,0.49941667251319083,0.5736665953255079,0.17866552665334867,0.011182437494779936,0.16461545881855652,0.19536299103109364,0.7875384973825161,0.028052938397360012,0.7404399622552489,0.8144726148355912,0.7238926856410636,0.02192432195199658,0.6885245901639344,0.7452830188679245,0.6887825209295361,0.024423436378087214,0.6470747817881576,0.7093133390774045,14
19,750,30,20,0.25,30.0,False,0.5341614227375289,0.02666896518256347,0.5001750998395229,0.5736738453932093,0.17872091077265667,0.011041753581396273,0.16499715394240272,0.19531268070492175,0.7874881085887583,0.02798369783392927,0.7402866242038217,0.8135621184623,0.7249387258565427,0.02084637516497553,0.6908665105386417,0.7429245283018868,0.6899072763733611,0.023341406052519272,0.6495930644019816,0.705946335710401,15
24,1000,10,15,0.75,30.0,True,0.5342150892576223,0.03412364088552898,0.4945088347843984,0.588217886682284,0.17871004374464988,0.014394400120684018,0.16235835522851275,0.20166601013051344,0.7880449311929909,0.03322722880041528,0.7315581505071951,0.8172346575250387,0.7234075168692948,0.030387276311021737,0.6721311475409836,0.75,0.6912729663697681,0.03184202261435567,0.6367775418730832,0.7168234064785789,16
4,500,20,25,0.25,8.0,False,0.5342775822923811,0.024488936586682983,0.5013015814202424,0.5692584073957538,0.17847082904888553,0.010183765073358636,0.1649245305991232,0.1931320658813301,0.7878138201382814,0.025873280876121087,0.7444149563576314,0.8127799470812174,0.7249373490733702,0.02021234086187724,0.6920374707259953,0.7441037735849056,0.6888515561553246,0.022872881537547216,0.6498525595659354,0.7084058980610705,17
54,1000,30,25,0.25,8.0,False,0.5342804525767408,0.024729858210315037,0.5010985167863385,0.5696224039830663,0.17851290627574437,0.010301631553692603,0.1648937557973359,0.193371216872856,0.7876305929223242,0.026356366449406997,0.7433297947629158,0.8127860577951322,0.725229059582408,0.01935003917421362,0.6943793911007026,0.7464622641509434,0.6892076717808029,0.022297345933418117,0.6517044114177872,0.7102207800937383,18
58,1000,10,15,0.75,16.0,True,0.534302404912619,0.03428230285180063,0.49444269902150684,0.5885562649597653,0.1787355892015016,0.01445892090599851,0.16232612868385307,0.2017943622481626,0.787971337798429,0.033427428213140764,0.7311335220570889,0.817289653950271,0.7238244823972639,0.028817088753040888,0.6756440281030445,0.75,0.6917400880786067,0.029798699132870678,0.6408881811748054,0.7168234064785789,19
39,750,30,15,0.75,30.0,True,0.5343927757341713,0.0345391279095343,0.4943068238568184,0.5891747030409361,0.17876115663990982,0.014517898868553137,0.16233878366909316,0.2019764573627763,0.7879224131060041,0.03351929389474623,0.7309271054493984,0.8172957646641857,0.7259622408942868,0.0288079770228146,0.6768149882903981,0.75,0.6942213671265351,0.030681353110202307,0.6418141071007313,0.7175994671457466,20
2,750,5,10,0.5,,True,0.5350435092870607,0.03277807870714931,0.4962245748657725,0.5865029820526746,0.17885220721753517,0.013827654964115865,0.16294494128091294,0.20077947935693585,0.7871877112927208,0.033024282178098906,0.7311040339702759,0.8164830397135298,0.723691971820468,0.026918640568488975,0.6779859484777517,0.7452830188679245,0.6914934443882244,0.028340602789725774,0.6427400330266573,0.7124175817460754,21
23,750,2,30,1.0,16.0,True,0.5351282315468191,0.034802810144566494,0.4926365832701175,0.5887566917898471,0.17912216366855077,0.014569820047708557,0.16175137919943017,0.2018247287175572,0.7870754580004657,0.032930258116876276,0.7314343005425809,0.817436311084224,0.7258781619499006,0.03046693779747435,0.6733021077283372,0.7476415094339622,0.6948720338106291,0.03230144220154521,0.6403691908468978,0.7205111264180384,22
45,750,20,15,0.25,20.0,False,0.5352610745422897,0.028777279464415426,0.49850292126785956,0.5776947110537656,0.17909307898749444,0.011872951695565438,0.1644672298382606,0.19697805040372263,0.7864459061563132,0.02942477592827958,0.7374026893135174,0.8156092076237267,0.7201514729735032,0.01997599672137657,0.6885245901639344,0.7393867924528302,0.6860550971291864,0.020852714138640836,0.6504069355980184,0.7032240126613992,23
42,750,10,20,1.0,12.0,True,0.5354556054592352,0.035084575699101776,0.4939898911242766,0.5905165307534649,0.17924825807974767,0.014786470935359564,0.16227121379035025,0.2026995668000745,0.7871860828658701,0.03326411086805972,0.7307383816937956,0.8168802361179858,0.7250829790176558,0.030143128293406374,0.6733021077283372,0.7464622641509434,0.6934381109326577,0.030891901680074375,0.6403691908468978,0.7148771440967447,24
17,500,30,15,0.25,16.0,False,0.535468274018217,0.028372179481229238,0.4996452648754111,0.5777674892966059,0.17911619762674402,0.011772712635479772,0.16480418858765153,0.1970546332839622,0.7862983587062492,0.029560271044991617,0.7367185656994573,0.8147598183895824,0.723468476753545,0.02062541843126475,0.689695550351288,0.7441037735849056,0.6891515289760263,0.022620652818649337,0.6506664307619722,0.7084058980610705,25
60,1000,20,20,1.0,16.0,True,0.5356175303169599,0.03548200289302389,0.4939710460594595,0.591451001086699,0.17934339280985045,0.014933823118155568,0.1622964692818121,0.20306702531168058,0.7870541162699491,0.033697972772911776,0.7297711724463316,0.8167030254144592,0.7228171997370416,0.029796643877638015,0.6721311475409836,0.7452830188679245,0.6908690289259896,0.03026087213779801,0.6387768341589998,0.7131936424132431,26
37,500,2,20,1.0,,True,0.5357944980748596,0.03534895420046964,0.493592288104733,0.5909923460549589,0.17938414299373312,0.014875771760259815,0.16217423861459504,0.20290983156542697,0.7870961552476833,0.03330880262663651,0.7306086341118189,0.816978007540621,0.7253369493109223,0.02997718662312973,0.6744730679156908,0.7476415094339622,0.6935441288504876,0.030291903089230136,0.6412951167728238,0.715008524445911,27
40,750,5,15,1.0,12.0,True,0.5360484481620815,0.03534936377128003,0.49583300706359684,0.5923384387388791,0.1794154735188965,0.014904681002713058,0.16288926814165397,0.20333637365270407,0.7867837308524951,0.033501993941452174,0.7297357867421562,0.8158047504689974,0.7234019853399746,0.028807000200763447,0.6744730679156908,0.7455830388692579,0.6906866739586721,0.029290808075847292,0.6399622552488795,0.7084077203143231,28
28,1000,30,15,1.0,,True,0.5363631063564781,0.03576142962430496,0.49568407919359725,0.5932875400818043,0.17956618948619785,0.015091463100661884,0.16284343106314467,0.20377335518726936,0.7863800691678475,0.033972833954574864,0.7285562632696392,0.8159025218916326,0.7243244945650669,0.029081388907821755,0.6744730679156908,0.7455830388692579,0.6918056692955377,0.029619097611715387,0.6406286860108517,0.7122172708998131,29
