gameId,season,week,startDate,homeTeam,awayTeam,win_home,winPctDiff,pointDifferentialAvgDiff,pointsForAvgDiff,pointsAgainstAvgDiff,yardsPerPassAttemptDiff,yardsPerRushAttemptDiff,pointsForTrendDiff,pointsAgainstTrendDiff,pointDifferentialTrendDiff,totalYardsTrendDiff,netPassingYardsTrendDiff,winPctTrendDiff,priorSOSWinPctDiff,priorSOSPointDiffDiff
401282762,2021,11,2021-11-13 20:30:00+00:00,Iowa,Minnesota,1,0.11111111111111116,1.2222222222222232,-1.4444444444444464,2.6666666666666625,-1.6953377243962287,-1.3819201631701632,-15.222222222222218,-8.999999999999996,-24.22222222222222,-69.55555555555554,-17.111111111111114,-0.4444444444444445,0.2424107142857143,8.749454365079364
401282721,2021,12,2021-11-20 19:00:00+00:00,Iowa,Illinois,1,0.4,12.8,7.5,5.300000000000001,1.1775051285066578,-1.3620587723874102,-6.5,-10.966666666666663,-17.46666666666667,-32.73333333333329,19.666666666666657,-0.4,-0.03799603174603183,-7.2935295414462065
401331447,2021,14,2021-12-05 01:00:00+00:00,Iowa,Michigan,0,-0.08333333333333326,-11.750000000000002,-11.666666666666668,-0.08333333333333215,-1.8482502517623365,-1.9761979878711395,0.3333333333333397,-1.25,-0.9166666666666652,0.4166666666667425,-49.0,0.0833333333333333,0.050914994096812216,-0.5745244654335568
401287887,2021,1,2021-09-04 20:30:00+00:00,Iowa State,Northern Iowa,1,,,,,,,,,,,,,,
401282754,2021,2,2021-09-11 20:30:00+00:00,Iowa State,Iowa,0,0.0,-22.0,-18.0,-4.0,2.4752747252747254,-0.3888888888888893,0.0,-0.0,0.0,0.0,0.0,0.0,,
401287912,2021,5,2021-10-02 23:00:00+00:00,Iowa State,Kansas,1,0.25,30.0,7.75,22.25,0.3119047619047617,0.7513348588863464,2.9166666666666607,6.083333333333329,9.0,-5.583333333333314,8.16666666666669,0.0833333333333334,-0.2222222222222222,-11.277777777777782
401287925,2021,8,2021-10-23 19:30:00+00:00,Iowa State,Oklahoma State,1,-0.33333333333333337,10.333333333333332,7.166666666666664,3.166666666666668,0.6408862876254187,1.8098792497477114,4.166666666666671,-3.166666666666668,1.0000000000000018,4.0,-24.833333333333314,0.0,-0.06333333333333324,-7.856666666666667
401287934,2021,10,2021-11-06 23:30:00+00:00,Iowa State,Texas,1,0.125,2.875,-7.25,10.125,-0.5445457331086256,-0.14921556430990357,4.583333333333329,2.875000000000007,7.458333333333332,19.58333333333331,-65.125,0.5416666666666666,-0.17789115646258502,-2.9057823129251705
401287949,2021,13,2021-11-26 21:30:00+00:00,Iowa State,TCU,1,0.09090909090909094,13.999999999999998,1.4545454545454533,12.545454545454543,-1.3703254006799428,-0.3124725323020128,2.2121212121212146,1.7878787878787854,4.000000000000001,-4.818181818181813,24.90909090909097,-0.4242424242424242,-0.018452380952380887,-0.5539285714285693
401282050,2021,1,2021-09-01 23:30:00+00:00,Jacksonville State,UAB,0,,,,,,,,,,,,,,
401287888,2021,1,2021-09-04 00:00:00+00:00,Kansas,South Dakota,1,,,,,,,,,,,,,,
401287904,2021,3,2021-09-18 19:30:00+00:00,Kansas,Baylor,0,-0.5,-46.0,-28.0,-18.0,-1.5690909090909084,-4.225402761795166,0.0,-0.0,0.0,0.0,0.0,0.0,,
401287921,2021,7,2021-10-16 20:00:00+00:00,Kansas,Texas Tech,0,-0.4666666666666666,-27.1,-17.633333333333336,-9.466666666666661,-2.2493574313573497,-1.028153748546051,3.6333333333333346,4.799999999999997,8.433333333333334,-15.0,-44.26666666666668,0.1333333333333333,0.25,8.3125
401287926,2021,8,2021-10-23 16:00:00+00:00,Kansas,Oklahoma,0,-0.8333333333333334,-44.523809523809526,-26.047619047619055,-18.476190476190478,-1.726170873262248,-1.6130002147612568,-3.9523809523809454,4.476190476190478,0.5238095238095273,-0.19047619047614717,14.142857142857196,-0.1666666666666666,0.06999999999999995,2.2600000000000016
401287935,2021,10,2021-11-06 16:00:00+00:00,Kansas,Kansas State,0,-0.5,-32.5,-11.75,-20.75,-2.0852093414685466,-0.5129195270785671,-0.24999999999999467,0.0833333333333428,-0.16666666666666163,-39.75,-63.12499999999997,-0.1666666666666666,0.022448979591836782,4.240192743764172
401287950,2021,13,2021-11-28 00:00:00+00:00,Kansas,West Virginia,0,-0.2727272727272727,-25.0,-6.0909090909090935,-18.909090909090907,-0.49609527528309183,0.49237254901960803,20.75757575757576,5.242424242424249,26.0,102.2424242424243,71.36363636363637,0.2727272727272726,0.045396825396825435,4.835674603174602
401287889,2021,1,2021-09-04 16:00:00+00:00,Kansas State,Stanford,1,,,,,,,,,,,,,,
401287897,2021,2,2021-09-11 23:00:00+00:00,Kansas State,Southern Illinois,1,,,,,,,,,,,,,,
401287905,2021,3,2021-09-18 18:00:00+00:00,Kansas State,Nevada,1,0.0,-9.5,-8.0,-1.5,0.16974789915966326,0.5222222222222221,0.0,-0.0,0.0,0.0,0.0,0.0,,
401287913,2021,5,2021-10-02 19:30:00+00:00,Kansas State,Oklahoma,0,-0.25,-14.0,-10.5,-3.5,0.49734861443722256,0.09477124183006502,1.8333333333333324,-10.500000000000002,-8.666666666666668,-4.083333333333314,16.00000000000003,-0.0833333333333333,0.33333333333333337,-8.16666666666667
401287922,2021,7,2021-10-16 23:30:00+00:00,Kansas State,Iowa State,0,0.0,-12.399999999999999,-4.9999999999999964,-7.4,-0.1322327044025151,-0.6780701754385969,-10.666666666666673,-7.266666666666662,-17.933333333333337,-71.06666666666666,0.4666666666666117,-0.3333333333333332,0.4375,9.215277777777777
401287930,2021,9,2021-10-30 19:30:00+00:00,Kansas State,TCU,1,0.1428571428571429,-0.28571428571428603,-7.285714285714285,7.0,-0.7338754449560767,-1.143389921532357,-0.7142857142857224,-0.9999999999999929,-1.7142857142857144,-3.380952380952465,69.42857142857147,-0.1428571428571429,0.2156349206349205,2.569365079365081
401287939,2021,11,2021-11-13 17:00:00+00:00,Kansas State,West Virginia,1,0.2222222222222222,3.111111111111111,1.6666666666666607,1.4444444444444393,1.2858986722053265,1.2908496732026147,5.333333333333339,7.222222222222227,12.555555555555554,48.4444444444444,62.000000000000036,0.1111111111111111,-0.009502551020408201,-1.1394345238095243
401287943,2021,12,2021-11-20 22:30:00+00:00,Kansas State,Baylor,0,-0.10000000000000009,-7.7,-6.5,-1.2000000000000028,0.23119189907038518,-1.327673410404624,11.166666666666668,10.86666666666667,22.033333333333328,67.56666666666672,42.23333333333335,0.43333333333333335,-0.004265873015873001,-0.8812499999999996
401309545,2021,2,2021-09-11 15:30:00+00:00,Kent State,VMI,1,,,,,,,,,,,,,,
401309562,2021,5,2021-10-02 19:30:00+00:00,Kent State,Bowling Green,1,-0.25,-2.75,6.75,-9.5,1.1227513227513226,3.2212121212121207,0.9166666666666679,-2.166666666666668,-1.25,18.41666666666663,19.083333333333314,-0.0833333333333333,0.44444444444444453,22.666666666666668
