split,season_phase,feature_group,relative_feature,phase_feature,N,phase_weight,raw_mean,raw_mean_abs,raw_median_abs,raw_std,phase_mean,phase_mean_abs,phase_median_abs,phase_std,mean_abs_attenuation
validation,Early,Rushing Usage,returning_rushing_usage_diff,returning_rushing_usage_diff_phase,522,1.0,0.014157088122605369,0.25921839080459774,0.23049999999999998,0.3177789436727874,0.014157088122605369,0.25921839080459774,0.23049999999999998,0.3177789436727874,1.0
validation,Mid,Total PPA,returning_total_ppa_diff,returning_total_ppa_diff_phase,414,0.67,0.46231884057971034,125.48695652173913,100.85,164.52235974956096,0.3097536231884051,84.07626086956522,67.5695,110.22998103220586,0.67
validation,Mid,Passing PPA,returning_passing_ppa_diff,returning_passing_ppa_diff_phase,414,0.67,1.2144927536231893,59.20966183574879,40.400000000000006,80.17541170303876,0.8137101449275358,39.67047342995169,27.068000000000005,53.71752584103597,0.67
validation,Mid,Receiving PPA,returning_receiving_ppa_diff,returning_receiving_ppa_diff_phase,414,0.67,-1.4729468599033804,59.2768115942029,48.25000000000001,75.5513493261344,-0.9868743961352648,39.715463768115946,32.3275,50.619404048510056,0.67
validation,Mid,Rushing PPA,returning_rushing_ppa_diff,returning_rushing_ppa_diff_phase,414,0.67,1.106521739130435,38.48333333333334,30.6,50.38622290442683,0.7413695652173911,25.783833333333337,20.502000000000002,33.75876934596597,0.6699999999999999
validation,Mid,Total Usage,returning_usage_diff,returning_usage_diff_phase,414,0.67,0.0025265700483091806,0.252512077294686,0.22850000000000004,0.309457931158227,0.0016928019323671508,0.16918309178743965,0.15309500000000004,0.20733681387601208,0.6700000000000002
validation,Mid,Passing Usage,returning_passing_usage_diff,returning_passing_usage_diff_phase,414,0.67,0.010987922705314023,0.4234178743961353,0.3675,0.5368454107200421,0.007361908212560391,0.28368997584541067,0.246225,0.35968642518242827,0.67
validation,Mid,Receiving Usage,returning_receiving_usage_diff,returning_receiving_usage_diff_phase,414,0.67,-0.011736714975845412,0.20394927536231885,0.17599999999999996,0.25528490612971433,-0.007863599033816424,0.13664601449275363,0.11791999999999998,0.17104088710690862,0.6699999999999999
validation,Mid,Rushing Usage,returning_rushing_usage_diff,returning_rushing_usage_diff_phase,414,0.67,0.0017777777777777772,0.29587922705314007,0.2665,0.3595655353708511,0.0011911111111111118,0.19823908212560387,0.17855500000000002,0.24090890869847023,0.67
validation,Late,Total PPA,returning_total_ppa_diff,returning_total_ppa_diff_phase,805,0.33,5.574037267080746,130.16832298136646,108.89999999999998,166.74733943359544,1.8394322981366464,42.955546583850925,35.937,55.026622013086495,0.32999999999999996
validation,Late,Passing PPA,returning_passing_ppa_diff,returning_passing_ppa_diff_phase,805,0.33,3.4677018633540384,63.330310559006215,50.3,82.06555609889847,1.1443416149068324,20.89900248447205,16.599,27.081633512636493,0.32999999999999996
