feature_1,feature_2,correlation,absolute_correlation
pointDifferentialTrendDiff,possessionSecondsAvgDiff,0.02174946022669116,0.02174946022669116
winPctDiff,penaltyYardsAvgDiff,-0.02172590182348597,0.02172590182348597
winPctTrendDiff,priorSOSPointDiffDiff,-0.021043574549757735,0.021043574549757735
netPassingYardsTrendDiff,priorSOSWinPctDiff,-0.020278825642587314,0.020278825642587314
pointsAgainstAvgDiff,pointsAgainstTrendDiff,0.020223829787854572,0.020223829787854572
pointsAgainstTrendDiff,sacksAvgDiff,0.01874649741708129,0.01874649741708129
totalYardsTrendDiff,priorSOSWinPctDiff,-0.01861505091051434,0.01861505091051434
winPctDiff,pointDifferentialTrendDiff,0.01832509920460064,0.01832509920460064
yardsPerRushAttemptDiff,netPassingYardsTrendDiff,-0.01819028060978679,0.01819028060978679
pointsForTrendDiff,turnoversAvgDiff,0.017911809173720313,0.017911809173720313
winPctDiff,pointsAgainstTrendDiff,0.01776892646037773,0.01776892646037773
pointDifferentialTrendDiff,totalYardsAvgDiff,-0.016829327912254964,0.016829327912254964
pointDifferentialAvgDiff,netPassingYardsTrendDiff,-0.01665933386774414,0.01665933386774414
pointsAgainstTrendDiff,completionPctDiff,0.016479603056727743,0.016479603056727743
netPassingYardsTrendDiff,priorSOSPointDiffDiff,-0.016445204919802003,0.016445204919802003
pointsAgainstTrendDiff,turnoversAvgDiff,0.01607326760381373,0.01607326760381373
pointsForTrendDiff,totalYardsAvgDiff,-0.015610748333366732,0.015610748333366732
totalYardsTrendDiff,completionPctDiff,0.015330026290834443,0.015330026290834443
pointsForAvgDiff,netPassingYardsTrendDiff,-0.015061418890740804,0.015061418890740804
thirdDownPctDiff,penaltyYardsAvgDiff,0.014896209432403426,0.014896209432403426
pointsForTrendDiff,priorSOSPointDiffDiff,-0.014852887331089849,0.014852887331089849
totalYardsTrendDiff,totalYardsAvgDiff,-0.014730609231065417,0.014730609231065417
priorSOSPointDiffDiff,penaltyYardsAvgDiff,0.014556819013610908,0.014556819013610908
yardsPerPassAttemptDiff,netPassingYardsTrendDiff,0.014286581926181966,0.014286581926181966
pointDifferentialAvgDiff,totalYardsTrendDiff,-0.014116856446845022,0.014116856446845022
totalYardsTrendDiff,priorSOSPointDiffDiff,-0.013635512842995145,0.013635512842995145
pointsForAvgDiff,pointDifferentialTrendDiff,-0.013304539117881146,0.013304539117881146
pointsForAvgDiff,pointsForTrendDiff,-0.013082220712865154,0.013082220712865154
netPassingYardsTrendDiff,thirdDownPctDiff,-0.013030060131749585,0.013030060131749585
yardsPerPassAttemptDiff,totalYardsTrendDiff,0.012922519837027932,0.012922519837027932
pointsForAvgDiff,totalYardsTrendDiff,-0.012609083596752309,0.012609083596752309
pointsAgainstTrendDiff,penaltyYardsAvgDiff,-0.01233715632223941,0.01233715632223941
totalYardsTrendDiff,sacksAvgDiff,-0.012213757615755126,0.012213757615755126
priorSOSWinPctDiff,completionPctDiff,-0.012010313561301654,0.012010313561301654
pointsAgainstAvgDiff,netPassingYardsTrendDiff,-0.011850885940051311,0.011850885940051311
pointsAgainstAvgDiff,pointDifferentialTrendDiff,0.011675411417510339,0.011675411417510339
yardsPerPassAttemptDiff,pointsForTrendDiff,0.011386422523333222,0.011386422523333222
priorSOSWinPctDiff,sacksAvgDiff,0.011221905797260285,0.011221905797260285
priorSOSPointDiffDiff,turnoversAvgDiff,-0.010920252360953205,0.010920252360953205
pointsAgainstAvgDiff,totalYardsTrendDiff,-0.010209654521187897,0.010209654521187897
winPctDiff,pointsForTrendDiff,0.010171970703246217,0.010171970703246217
pointsAgainstTrendDiff,totalYardsAvgDiff,-0.009969338745419278,0.009969338745419278
pointDifferentialAvgDiff,pointsForTrendDiff,-0.009766136284529728,0.009766136284529728
pointsAgainstTrendDiff,thirdDownPctDiff,-0.009630891445916258,0.009630891445916258
pointDifferentialTrendDiff,sacksAvgDiff,0.009305368772272539,0.009305368772272539
pointDifferentialTrendDiff,thirdDownPctDiff,-0.008970655602354369,0.008970655602354369
pointsForTrendDiff,possessionSecondsAvgDiff,0.008592704898991556,0.008592704898991556
yardsPerRushAttemptDiff,pointsAgainstTrendDiff,0.008542855318099661,0.008542855318099661
